data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,formula,formula_label,formula_T,u_g,fraction_exact_u_g,gap_to_exact_pct,is_exact_best,active_pct_actual,T_over_N,T_over_K
gaussian,42,33,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.1910784070545297,0.8770338695772968,12.29661304227032,False,25.0,0.0,0.0
gaussian,42,34,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,2.826311234854596,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,35,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,1.0,3.825007758642384,0.9213712989527064,7.8628701047293585,False,25.0,0.125,0.5
gaussian,42,36,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,2.6850034428204625,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,37,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,4.0524615945202935,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,38,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.810174272750048,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,39,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,4.008471890404342,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,40,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.959601591465375,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,41,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.983967702826433,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,42,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.731949588606055,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,43,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,1.0,3.988768076721906,1.0,0.0,True,25.0,0.125,0.5
gaussian,42,44,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,1.0,2.8862756267192387,1.0,0.0,True,25.0,0.125,0.5
gaussian,42,45,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.491814321811595,0.9643861355867576,3.561386441324254,False,25.0,0.0,0.0
gaussian,42,46,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.9491971023068633,0.991408881692766,0.8591118307234025,False,25.0,0.0,0.0
gaussian,42,47,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.056257919204456,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,48,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.288619553529605,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,49,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,4.327640665271262,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,50,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.153489258145268,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,51,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,2.8770794921418053,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,52,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.351506016645958,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,53,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.4080522125593435,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,54,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,2.0,2.7998967616616035,1.0,0.0,True,25.0,0.25,1.0
gaussian,42,55,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.500680383662104,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,56,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.87535120632666,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,57,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,4.445418403799833,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,58,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.576403238318335,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,59,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,2.989153573125966,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,60,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,2.963131454462033,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,61,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.175188029036896,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,62,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.4785058839984333,0.8690185642578832,13.098143574211685,False,25.0,0.0,0.0
gaussian,42,63,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.7476124230470096,1.0,0.0,True,25.0,0.0,0.0
