N,L,K,active_limit_fraction,required_turned_off_fraction,objective,objective_label,candidate,baseline_winner,winner,baseline_best_mean,candidate_mean,candidate_vs_best_h12_relative_delta
1000,8,750,0.75,0.25,u_bf,BF gain,Pareto-H2,H1,Coutino,17347.41316743203,14776.326064645309,-0.148211556269016
1000,8,750,0.75,0.25,u_i,Interference,Coutino,H2,Pareto-H2,1126.4332304149866,1250260.1628029495,-1108.9283375565403
1000,8,750,0.75,0.25,u_i,Interference,MISO-EE,H2,Pareto-H2,1126.4332304149866,1099165.3819623813,-974.7927520989774
1000,8,750,0.75,0.25,u_i,Interference,Pareto-H2,H2,Pareto-H2,1126.4332304149866,1100.4485593363643,0.02306809704916943
1000,8,750,0.75,0.25,u_g,General objective,Coutino,H1,Coutino,4.2149575426972454e+26,6.293885805155096e+26,0.493226382804202
1000,8,750,0.75,0.25,u_g,General objective,MISO-EE,H1,Coutino,4.2149575426972454e+26,4.440610310747625e+26,0.053536190048068484
1000,8,750,0.75,0.25,u_g,General objective,Pareto-H2,H1,Coutino,4.2149575426972454e+26,1.3530493431417677e+26,-0.678988618643138
1000,9,500,0.5,0.5,u_bf,BF gain,Coutino,H1,Coutino,6996.580301296761,8676.815249372134,0.24015088453482833
1000,9,500,0.5,0.5,u_bf,BF gain,MISO-EE,H1,Coutino,6996.580301296761,6999.915031867725,0.00047662292539484154
1000,9,500,0.5,0.5,u_bf,BF gain,Pareto-H2,H1,Coutino,6996.580301296761,5892.7959914625535,-0.15776054333709708
1000,9,500,0.5,0.5,u_i,Interference,Coutino,H2,Tie,780.5777907795273,376464.176147623,-481.28912043688234
1000,9,500,0.5,0.5,u_i,Interference,MISO-EE,H2,Tie,780.5777907795273,283934.4627545392,-362.7490921577296
1000,9,500,0.5,0.5,u_i,Interference,Pareto-H2,H2,Tie,780.5777907795273,780.5777907795273,0.0
1000,9,500,0.5,0.5,u_g,General objective,Coutino,H1,Coutino,7.857080486320368e+25,5.89855111700288e+26,6.50730646997011
1000,9,500,0.5,0.5,u_g,General objective,MISO-EE,H1,Coutino,7.857080486320368e+25,8.292522266693875e+25,0.05542030288879382
1000,9,500,0.5,0.5,u_g,General objective,Pareto-H2,H1,Coutino,7.857080486320368e+25,2.2182999088178357e+25,-0.7176686795203353
1000,9,750,0.75,0.25,u_bf,BF gain,Coutino,H1,Coutino,12599.955538472,15742.393535824458,0.24940072111822242
1000,9,750,0.75,0.25,u_bf,BF gain,MISO-EE,H1,Coutino,12599.955538472,12658.043547650694,0.004610175726519855
1000,9,750,0.75,0.25,u_bf,BF gain,Pareto-H2,H1,Coutino,12599.955538472,10432.91997249776,-0.17198755657173032
1000,9,750,0.75,0.25,u_i,Interference,Coutino,H2,Tie,1041.15233046934,983283.9111212976,-943.4188735360598
1000,9,750,0.75,0.25,u_i,Interference,MISO-EE,H2,Tie,1041.15233046934,680248.9778856263,-652.3616244022404
1000,9,750,0.75,0.25,u_i,Interference,Pareto-H2,H2,Tie,1041.15233046934,1041.15233046934,0.0
1000,9,750,0.75,0.25,u_g,General objective,Coutino,H1,Coutino,1.7314247754456244e+28,1.3140797050377436e+29,6.589585892921817
1000,9,750,0.75,0.25,u_g,General objective,MISO-EE,H1,Coutino,1.7314247754456244e+28,1.8229054533076972e+28,0.0528354908393453
1000,9,750,0.75,0.25,u_g,General objective,Pareto-H2,H1,Coutino,1.7314247754456244e+28,3.7844020574315284e+27,-0.7814284448795923
1000,10,500,0.5,0.5,u_bf,BF gain,Coutino,H1,Coutino,6086.69357024419,6688.203050412451,0.09882368370059576
1000,10,500,0.5,0.5,u_bf,BF gain,MISO-EE,H1,Coutino,6086.69357024419,6090.732367164763,0.0006635453015603422
