data_profile,N,L,K,off_pct,active_pct,cases,T_min,T_max,T_mean,outside_dense_rate,u_g_mean,u_g_p05,u_g_p50,u_g_p95,fraction_mean,fraction_p05,fraction_p50,fraction_p95,gap_pct_mean,winner_rate
nakagami,500,4,250,50.0,50.0,100,125,125,125.0,0.0,2504829063019.9556,1153624110377.8157,2405463391394.004,3869751406235.0576,0.6039086247194843,0.4885576034133085,0.6110067940485819,0.698350259751642,39.60913752805157,0.0
nakagami,500,6,125,75.0,25.0,100,188,188,188.0,1.0,34953204450046.27,16655041973537.666,31578431845062.695,61858334349374.19,0.2827533280802833,0.2252071363161592,0.2800282389761186,0.3718256068164244,71.72466719197166,0.0
nakagami,500,6,250,50.0,50.0,100,125,125,125.0,0.0,9.101518953774795e+16,4.2552809606785576e+16,8.078383238702134e+16,1.687665782528615e+17,0.5594220972626925,0.4434521598491434,0.5555221585916712,0.6629918290562175,44.057790273730745,0.0
nakagami,500,8,125,75.0,25.0,100,188,188,188.0,1.0,2.401226010847893e+16,8565757883686108.0,2.269139575040435e+16,4.610417807353241e+16,0.24369393413558968,0.18435762712781842,0.2375677592271069,0.31421621901042623,75.63060658644103,0.0
nakagami,500,8,250,50.0,50.0,100,125,125,125.0,0.0,9.75315386137136e+20,3.122722583255311e+20,9.294424710307428e+20,1.8904768485735777e+21,0.522884751708311,0.4061877774506666,0.5156078693015919,0.6326066315837288,47.71152482916891,0.0
nakagami,500,10,125,75.0,25.0,100,188,188,188.0,1.0,6.474307617250595e+18,1.8003396233008689e+18,5.771594198354634e+18,1.381165033563305e+19,0.21148790566001055,0.1440023643342768,0.20959416881565623,0.29025119128718985,78.85120943399893,0.0
nakagami,500,10,250,50.0,50.0,100,125,125,125.0,0.0,4.271785457663789e+24,1.1434162392156725e+24,3.6212950844098735e+24,9.787606991131043e+24,0.4859631604641176,0.36519811244319406,0.4802778426250487,0.6036469572989831,51.40368395358824,0.0
nakagami,1000,2,250,75.0,25.0,100,375,375,375.0,1.0,12795155.163955571,8102754.720272164,12877867.467808388,17475774.871901702,0.4753877146349247,0.4287512791030453,0.4705486682346389,0.5278149885365723,52.461228536507534,0.0
nakagami,1000,2,500,50.0,50.0,100,250,250,250.0,0.0,152694927.8652758,97613482.66988294,153560737.5600506,211863614.7092502,0.692594594142434,0.6408846936923704,0.6884591102310977,0.7565092887597779,30.74054058575661,0.0
nakagami,1000,4,250,75.0,25.0,100,375,375,375.0,1.0,3050984868000.0317,1495919755778.613,2882862606481.3096,4747909484521.376,0.3633793038486175,0.32067998304947826,0.3573664300603912,0.4185927697476633,63.66206961513824,0.0
nakagami,1000,4,500,50.0,50.0,100,250,250,250.0,0.0,513711437556840.2,244464925749654.22,479150323376795.2,809776746506594.6,0.6248420590313355,0.5587704848531859,0.62185937121053,0.6945741857578577,37.51579409686645,0.0
nakagami,1000,6,250,75.0,25.0,100,375,375,375.0,1.0,1.2032989169539579e+17,5.544199726277864e+16,1.1204522855138677e+17,2.131343342361269e+17,0.29811720636320316,0.25757567958770355,0.29327023868824315,0.35789114428129865,70.18827936367968,0.0
nakagami,1000,6,500,50.0,50.0,100,250,250,250.0,0.0,2.983882421120304e+20,1.3100222145237795e+20,2.72257360839572e+20,5.149874187261509e+20,0.5769914248210912,0.5110133939378906,0.5713839947566597,0.6504097737264999,42.30085751789089,0.0
nakagami,1000,8,250,75.0,25.0,100,375,375,375.0,1.0,1.3307096099218488e+21,4.869155066907953e+20,1.280461481648117e+21,2.5658178269941313e+21,0.24873440527818605,0.20338674807893406,0.2493159253390567,0.2906822834300817,75.12655947218138,0.0
nakagami,1000,8,500,50.0,50.0,100,250,250,250.0,0.0,4.978060319268285e+25,1.8863834401931311e+25,4.798726397856582e+25,9.73699844545323e+25,0.5356506185052653,0.46150236648109627,0.5386127774858582,0.627119246985432,46.434938149473474,0.0
nakagami,1000,10,250,75.0,25.0,100,375,375,375.0,1.0,6.148377695030293e+24,1.7060370831600718e+24,5.364285417950306e+24,1.3827856295185334e+25,0.2128238654718321,0.17070280814333735,0.21093970227620465,0.2642098829065686,78.71761345281679,0.0
nakagami,1000,10,500,50.0,50.0,100,250,250,250.0,0.0,3.631445587085303e+30,1.0264002813688538e+30,3.073273517165988e+30,8.723666293379199e+30,0.5011477342872707,0.4198520097218665,0.4973076726804203,0.5746642436926438,49.885226571272945,0.0
nakagami,2000,2,500,75.0,25.0,100,750,750,750.0,1.0,182635472.75578347,119478342.05839337,184101161.81449604,238177604.5857528,0.4809912040448705,0.4488252001980518,0.4790638648117314,0.5173702761272405,51.900879595512954,0.0
nakagami,2000,2,1000,50.0,50.0,100,500,500,500.0,0.0,2165057625.6895022,1387563696.1890206,2145705500.307339,2792867162.646001,0.6991850036850377,0.668252649796717,0.6961004505688304,0.7439337056123976,30.081499631496225,0.0
nakagami,2000,4,500,75.0,25.0,100,750,750,750.0,1.0,647213053826263.8,400319790228896.1,612995083568407.9,1007706798006180.2,0.37196538243432004,0.3382531449044109,0.37168412144189705,0.402764741468209,62.803461756568,0.0
nakagami,2000,4,1000,50.0,50.0,100,500,500,500.0,0.0,1.0753815606034442e+17,6.5636857704670024e+16,1.019909180865445e+17,1.652195049209639e+17,0.63234083129101,0.5813665835527245,0.6330064142427397,0.678427962163419,36.76591687089899,0.0
nakagami,2000,6,500,75.0,25.0,100,750,750,750.0,1.0,3.830647053950471e+20,1.8461096654423405e+20,3.6040919937644285e+20,6.47033907514026e+20,0.2970944856413732,0.2687183458625745,0.29489990763177143,0.3310095068237433,70.29055143586267,0.0
nakagami,2000,6,1000,50.0,50.0,100,500,500,500.0,0.0,9.275328278889114e+23,4.478582544056348e+23,8.682261071893306e+23,1.5320412674353366e+24,0.5784119975358759,0.5304993781330255,0.5767576012223918,0.6368277979098709,42.158800246412405,0.0
nakagami,2000,8,500,75.0,25.0,100,750,750,750.0,1.0,6.707755258410821e+25,2.7570525000499114e+25,6.695787484832908e+25,1.1468199763433832e+26,0.2552652757620057,0.2253161585341299,0.2538294482962119,0.28421866951166264,74.47347242379944,0.0
nakagami,2000,8,1000,50.0,50.0,100,500,500,500.0,0.0,2.4099202253405344e+30,1.0168682515412058e+30,2.3796937887795828e+30,4.1300122180283495e+30,0.5464465773171905,0.49812569048210675,0.5425148848540466,0.5961219706379016,45.35534226828096,0.0
nakagami,2000,10,500,75.0,25.0,100,750,750,750.0,1.0,4.8859102912938745e+30,1.691753734045051e+30,4.4910172953258353e+30,9.803814483412634e+30,0.21911867686950132,0.17504694623930672,0.2198569403279024,0.2569869626923872,78.08813231304987,0.0
nakagami,2000,10,1000,50.0,50.0,100,500,500,500.0,0.0,2.6547646928708004e+36,9.120329736226275e+35,2.4712393992571277e+36,5.1751016236160964e+36,0.516427204645983,0.4461391968551354,0.5137408160179954,0.5869195933580267,48.357279535401695,0.0
nakagami,5000,2,1250,75.0,25.0,100,1875,1875,1875.0,1.0,6191473986.941036,4037739355.78901,6244458975.844126,7949034161.922764,0.48508299664089194,0.46604669109016067,0.48456855905693846,0.5054544844395455,51.4917003359108,0.0
nakagami,5000,2,2500,50.0,50.0,100,1250,1250,1250.0,0.0,73536593273.84244,47990042480.04363,74446382728.74455,95665997553.41246,0.7059363154529555,0.6852498182715537,0.7040490989395607,0.7352867660483702,29.406368454704452,0.0
