target_obj,exact_objective,sample,seed,N,L,K,algorithm,active_count,valid,u_bf,u_i,u_g,meets_bf_floor,meets_interference_ceiling,objective_gap_pct,subset,elapsed_seconds,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,target_metric,target_direction,target_value,candidate_count
bf,bf,1,43,18,4,9,H1,9,True,17.99623130744,100.9971326706736,186.33234631416806,True,True,2.554170860112428,0 3 4 7 8 9 10 12 16,0.0005211999814491719,,,,u_bf,max,17.99623130744,48620
bf,bf,1,43,18,4,9,H2,9,True,6.261986196632522,0.6588548156929228,36.16175223095645,True,True,66.09265425805476,4 5 6 7 8 14 15 16 17,0.0009083999902941287,,,,u_bf,max,6.261986196632522,48620
bf,bf,1,43,18,4,9,Coutino,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,7.233825781372961,1 3 4 7 8 9 10 12 16,0.0010772999958135188,,,,u_bf,max,17.13199573014188,48620
bf,bf,1,43,18,4,9,MISO-EE,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,7.233825781372961,1 3 4 7 8 9 10 12 16,0.002359800011618063,,,,u_bf,max,17.13199573014188,48620
bf,bf,1,43,18,4,9,Pareto-H2,9,True,6.261986196632522,0.6588548156929228,36.16175223095645,True,True,66.09265425805476,4 5 6 7 8 14 15 16 17,0.0026279000157956034,,,,u_bf,max,6.261986196632522,48620
bf,bf,1,43,18,4,9,H3-threshold-BF,9,True,17.99623130744,100.9971326706736,186.33234631416806,True,True,2.554170860112428,0 3 4 7 8 9 10 12 16,0.0005737000028602779,,,,u_bf,max,17.99623130744,48620
bf,bf,1,43,18,4,9,H3-threshold-Int,9,True,6.261986196632522,0.6588548156929228,36.16175223095645,True,True,66.09265425805476,4 5 6 7 8 14 15 16 17,0.0016475000011269003,,,,u_bf,max,6.261986196632522,48620
bf,bf,1,43,18,4,9,H3-threshold-Gen,9,True,17.99623130744,100.9971326706736,186.33234631416806,True,True,2.554170860112428,0 3 4 7 8 9 10 12 16,0.002955700008897111,,,,u_bf,max,17.99623130744,48620
bf,bf,1,43,18,4,9,Frame-BF,9,True,18.46793389341031,103.8419000733545,177.8316193197471,True,True,0.0,0 1 3 7 8 9 10 12 16,0.03388309999718331,,,,u_bf,max,18.46793389341031,48620
bf,bf,1,43,18,4,9,Frame-Int,9,True,5.757734782296783,0.6502092012394378,31.09272285756875,True,True,68.82307021712242,2 4 6 7 8 14 15 16 17,0.030614799994509667,,,,u_bf,max,5.757734782296783,48620
bf,bf,1,43,18,4,9,Frame-Gen,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,7.233825781372961,1 3 4 7 8 9 10 12 16,0.05471130000660196,,,,u_bf,max,17.13199573014188,48620
bf,bf,1,43,18,4,9,H3-Fast,9,True,5.686423006317458,2.1491344808342845,27.373166810184102,True,True,69.20920857126052,0 1 2 6 11 13 14 15 17,0.0013017000164836645,,,,u_bf,max,5.686423006317458,48620
int,interference,1,43,18,4,9,Gurobi-BF,9,True,18.46793389341031,103.8419000733545,177.8316193197471,True,True,15870.536848049771,0 1 3 7 8 9 10 12 16,3.9093333999917377,3.22319210000569,0.6861412999860477,0.021414599992567673,u_i,min,103.8419000733545,48620
int,interference,1,43,18,4,9,Gurobi-Int,9,True,5.757734782296783,0.6502092012394378,31.09272285756875,True,True,0.0,2 4 6 7 8 14 15 16 17,3.922709100006614,3.22319210000569,0.6995170000009239,0.022295500006293878,u_i,min,0.6502092012394378,48620
int,interference,1,43,18,4,9,Gurobi-Gen,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,11056.04788110478,1 3 4 7 8 9 10 12 16,3.9405716999899596,3.22319210000569,0.7173795999842696,0.02050390001386404,u_i,min,72.53764981762062,48620
int,interference,1,43,18,4,9,H1,9,True,17.99623130744,100.9971326706736,186.33234631416806,True,True,15433.021138143147,0 3 4 7 8 9 10 12 16,0.0005323000077623874,,,,u_i,min,100.9971326706736,48620
int,interference,1,43,18,4,9,H2,9,True,6.261986196632522,0.6588548156929228,36.16175223095645,True,True,1.3296665806950447,4 5 6 7 8 14 15 16 17,0.0008405999979004264,,,,u_i,min,0.6588548156929228,48620
int,interference,1,43,18,4,9,Coutino,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,11056.04788110478,1 3 4 7 8 9 10 12 16,0.0010898999753408134,,,,u_i,min,72.53764981762062,48620
int,interference,1,43,18,4,9,MISO-EE,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,11056.04788110478,1 3 4 7 8 9 10 12 16,0.0023252000100910664,,,,u_i,min,72.53764981762062,48620
int,interference,1,43,18,4,9,Pareto-H2,9,True,6.261986196632522,0.6588548156929228,36.16175223095645,True,True,1.3296665806950447,4 5 6 7 8 14 15 16 17,0.0023885999980848283,,,,u_i,min,0.6588548156929228,48620
int,interference,1,43,18,4,9,H3-threshold-BF,9,True,17.99623130744,100.9971326706736,186.33234631416806,True,True,15433.021138143147,0 3 4 7 8 9 10 12 16,0.0006526999932248145,,,,u_i,min,100.9971326706736,48620
int,interference,1,43,18,4,9,H3-threshold-Int,9,True,6.261986196632522,0.6588548156929228,36.16175223095645,True,True,1.3296665806950447,4 5 6 7 8 14 15 16 17,0.0016593999753240496,,,,u_i,min,0.6588548156929228,48620
