K,sigma,heuristic,K_label,K_mode,K_value,active_pct,off_pct,active_count_mean,active_count_std,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log10_u_g_mean,log10_u_g_std,u_g_vs_best_case_mean,u_bf_vs_best_case_mean,u_i_vs_best_case_mean,u_g_vs_best_h12_mean,log2_u_g_per_active_mean,min_channel_eig_mean,geom_channel_eig_mean,max_channel_eig_mean,condition_channel_eig_mean,sigma_over_geom_channel_eig_mean,elapsed_seconds_mean,elapsed_seconds_std,samples,selection_hashes
500,1e-09,H1,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10876.364746301622,2594.847546076466,626361.0653784412,253413.94663672097,69756104222355.86,64642912200328.84,13.6734618471587,0.42036639328554504,0.26564571718141267,0.7084110453407062,7.533856760010612e-05,0.9412407204729375,0.09084451412889387,2189.5999547781494,2689.8636477490036,3256.3476967549022,1.5031189424868292,3.9178703639333094e-13,0.014933469996321946,0.004091770414381968,10,10
500,1e-09,H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,9893.066029616382,2189.2544494722342,264.7547242404893,114.81004352954436,47386731387286.86,40506612009359.234,13.530720960087049,0.3906449368182991,0.19206805673801328,0.6468496009859805,0.17850604999047806,0.6871646203909835,0.08989616420278895,2276.462823292512,2468.4171421803726,2653.3644590426225,1.162639498334145,4.239206345727515e-13,0.10290685999207198,0.026745864908014783,10,10
500,1e-09,H3-Fast,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,6097.366325043381,1272.6799016453363,44.144625508692116,18.185201211418352,6718439245585.044,5722112169929.872,12.695470436044879,0.36147432083368614,0.02761239000269754,0.39940342248620014,1.0,0.10269894800707287,0.08434687983861879,1423.6769556197924,1521.6675434640283,1638.7571896653644,1.1549965635479587,6.832471292642716e-13,0.43979269998380915,0.08229699768585275,10,10
500,1e-09,H3-threshold-BF,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506605070675.22,116947740589712.42,14.283385888137754,0.24090266134601063,1.0,1.0,5.299372479297363e-05,4.038192230751826,0.09489676174384498,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.709641327655586e-13,0.035059129982255396,0.006533571004280538,10,10
500,1e-09,H3-threshold-Gen,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506605070675.22,116947740589712.42,14.283385888137754,0.24090266134601063,1.0,1.0,5.299372479297363e-05,4.038192230751826,0.09489676174384498,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.709641327655586e-13,0.4447267299867235,0.1102929461532439,10,10
500,1e-09,H3-threshold-Int,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10187.243054014332,2361.1487412937513,223.00242040082813,101.50993602956392,55579501584785.664,56778512919464.664,13.582097139665189,0.3856279364012786,0.21649310803999663,0.6658338355455095,0.20800564112989997,0.8040174143947263,0.09023750015148616,2383.060685017599,2543.318415190969,2721.126119932518,1.1394766633577642,4.109684327549875e-13,0.43282268999610096,0.10010089714357544,10,10
500,1e-09,MISO-EE,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,429.6,32.31855332295815,11136.798616312526,2509.3703524571624,435771.3004382726,231871.1541068838,75483670289800.55,66853125160108.195,13.726599449424352,0.39335743690178354,0.29508489107914415,0.7267468952999291,0.00011462209991985601,1.0541884132637256,0.1064991991279094,2346.1142719793706,2764.539676313973,3231.3462109656552,1.3822219822687003,3.7873805528854653e-13,0.4400119700236246,0.09012714322209166,10,10
500,1e-09,Pareto-H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,490.3,10.209472725529627,10674.477915907128,2008.608254123817,188.2411411255598,69.98697955427545,60813091905223.9,49893667420221.61,13.675490193255026,0.3122963039511523,0.2575858816249092,0.7013238401032036,0.24677146483811613,0.989174621603229,0.0926874712403825,2464.0479327468934,2662.9197075686657,2866.6275276943816,1.161869528692819,3.8659044506946877e-13,0.33065375000005587,0.07011151401297097,10,10
500,1e-08,Coutino,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,13577.902990595685,1819.4708572460286,616518.4126055278,256973.52682728527,142313112120236.44,79828361705486.77,14.097166314489689,0.22951215226655083,0.6571604435084175,0.896327674124269,7.982983240700598e-05,2.6888112391122263,0.09365954567680608,2866.8172532023273,3370.8616319481503,3928.622760589465,1.3737768074668766,3.0135122257206292e-12,0.3273048399714753,0.07074956811865646,10,10
500,1e-08,H1,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10876.364746301622,2594.847546076466,626361.0653784412,253413.94663672097,69756104223176.875,64642912200903.67,13.673461847164898,0.4203663932840443,0.26564571718238855,0.7084110453407062,7.533856760010612e-05,0.9412407204731708,0.09084451412893504,2189.5999547781494,2689.8636477490036,3256.3476967549022,1.5031189424868292,3.917870363933309e-12,0.01520200000377372,0.00408695436312476,10,10
