data_profile,N,L,K,active_pct,seed_rule,max_swaps,cases,seed_T_mean,seed_T_p50,u_g_mean,u_g_p05,u_g_p50,u_g_p95,fraction_exact_mean,fraction_exact_p05,fraction_exact_p50,fraction_exact_p95,gap_to_exact_pct_mean,exact_rate,near_99_rate,swaps_applied_mean,add_candidate_count_mean,evaluated_swap_count_mean,elapsed_seconds_mean,elapsed_seconds_p95
gaussian,8,2,3,35.0,best_tested_T,2,100,0.04,0.0,6.114130937036074,3.5918438865716493,5.92792369922395,8.748670350538772,1.0,1.0,1.0,1.0,6.661338147750939e-16,1.0,1.0,0.09,5.0,16.08,0.0005660979170352221,0.0008340232539921999
gaussian,8,2,3,40.0,T_0,0,100,0.0,0.0,6.090102724444532,3.5885467169710568,5.92792369922395,8.748670350538772,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156833,0.88,0.93,0.0,5.0,0.0,0.00011819552863016724,0.0001859828771557659
gaussian,8,2,3,40.0,T_0,1,100,0.0,0.0,6.114130937036074,3.5918438865716493,5.92792369922395,8.748670350538772,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-15,1.0,1.0,0.12,5.0,15.0,0.0005154305568430572,0.0006149065331555902
gaussian,8,2,3,40.0,T_0,2,100,0.0,0.0,6.114130937036074,3.5918438865716493,5.92792369922395,8.748670350538772,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-15,1.0,1.0,0.12,5.0,16.44,0.0005895407206844539,0.0008601635985542089
gaussian,8,2,3,40.0,T_0p025N,0,100,0.0,0.0,6.090102724444532,3.5885467169710568,5.92792369922395,8.748670350538772,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156833,0.88,0.93,0.0,5.0,0.0,0.00012174036586657167,0.00019508919212967156
gaussian,8,2,3,40.0,T_0p025N,1,100,0.0,0.0,6.114130937036074,3.5918438865716493,5.92792369922395,8.748670350538772,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-15,1.0,1.0,0.12,5.0,15.0,0.0005274320230819285,0.000690892495913431
gaussian,8,2,3,40.0,T_0p025N,2,100,0.0,0.0,6.114130937036074,3.5918438865716493,5.92792369922395,8.748670350538772,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-15,1.0,1.0,0.12,5.0,16.44,0.0005876796413213014,0.0008616930339485407
gaussian,8,2,3,40.0,T_0p05N,0,100,0.0,0.0,6.090102724444532,3.5885467169710568,5.92792369922395,8.748670350538772,0.9948482801708431,0.9666721648600896,1.0,1.0,0.5151719829156833,0.88,0.93,0.0,5.0,0.0,0.0001238766999449581,0.00022061131312511856
gaussian,8,2,3,40.0,T_0p05N,1,100,0.0,0.0,6.114130937036074,3.5918438865716493,5.92792369922395,8.748670350538772,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-15,1.0,1.0,0.12,5.0,15.0,0.0005448800767771899,0.0007341988442931324
gaussian,8,2,3,40.0,T_0p05N,2,100,0.0,0.0,6.114130937036074,3.5918438865716493,5.92792369922395,8.748670350538772,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-15,1.0,1.0,0.12,5.0,16.44,0.000583149982849136,0.0008507004997227339
gaussian,8,2,3,40.0,best_tested_T,0,100,0.04,0.0,6.104825603251845,3.5918438865716493,5.92792369922395,8.748670350538772,0.9981942445632295,0.9946621350684957,1.0,1.0,0.18057554367705422,0.91,0.96,0.0,5.0,0.0,0.00014959417283535003,0.0002874352445360273
gaussian,8,2,3,40.0,best_tested_T,1,100,0.04,0.0,6.114130937036074,3.5918438865716493,5.92792369922395,8.748670350538772,1.0,1.0,1.0,1.0,6.661338147750939e-16,1.0,1.0,0.09,5.0,15.0,0.0005320663820020854,0.0006858403270598501
gaussian,8,2,3,40.0,best_tested_T,2,100,0.04,0.0,6.114130937036074,3.5918438865716493,5.92792369922395,8.748670350538772,1.0,1.0,1.0,1.0,6.661338147750939e-16,1.0,1.0,0.09,5.0,16.08,0.0005589340894948691,0.0008139389567077159
gaussian,8,2,4,45.0,T_0,0,100,0.0,0.0,9.807390436306354,4.511038549387773,9.232939135958322,16.698248796099207,0.9968791344575573,0.9810791727720185,1.0,1.0000000000000002,0.3120865542442762,0.88,0.93,0.0,4.0,0.0,0.00012121939798817038,0.00018826975137926637
