N,L,K,off_pct,sample,seed,sigma,P,heuristic,active_count,u_bf,u_i,u_g,log2_u_g_per_active,u_bf_per_active,elapsed_seconds
1000,7,500,50,3,45,1.0,1.0,Frame-BF,500,11984.402742978811,745844.5956855677,3.763755514679975e+22,0.14998918200863998,23.968805485957624,0.0297388999897521
1000,7,500,50,3,45,1.0,1.0,Frame-Int,500,5616.783001001219,238.2513431236148,2.1005483849247372e+20,0.13501865583121098,11.233566002002439,1.7760267999838106
1000,7,500,50,3,45,1.0,1.0,Frame-Gen,500,11967.945014381294,672904.7395874374,3.78281480318493e+22,0.1500037564700512,23.935890028762586,0.08173759997589514
1000,7,500,50,3,45,1.0,1.0,N-H3-Fast,500,5918.207287890064,198.73585177678615,3.080019398480008e+20,0.13612300267006391,11.836414575780129,0.8167970000067726
1000,7,500,50,4,46,1.0,1.0,H1,500,10345.348983487154,754731.6918750219,1.2995919315456871e+22,0.14692095355885337,20.69069796697431,0.02605100002256222
1000,7,500,50,4,46,1.0,1.0,H2,500,8833.057984494495,991.0956926550716,5.07261892074171e+21,0.14420644155012347,17.66611596898899,0.20850969999446534
1000,7,500,50,4,46,1.0,1.0,Coutino,500,12308.242724961758,757466.4736997485,4.593170009342534e+22,0.15056381654255188,24.616485449923516,0.8656197000236716
1000,7,500,50,4,46,1.0,1.0,MISO-EE,447,10359.232668404191,490266.03757613525,1.3884548470134486e+22,0.16455458243522808,23.175017155266648,1.0824359000253025
1000,7,500,50,4,46,1.0,1.0,Pareto-H2,500,8833.057984494495,991.0956926550716,5.07261892074171e+21,0.14420644155012347,17.66611596898899,0.7094408999837469
1000,7,500,50,4,46,1.0,1.0,S-threshold-BF,500,12910.821257917747,1107398.7246954963,6.137951713446182e+22,0.1514003507677131,25.821642515835496,0.09303620000719093
1000,7,500,50,4,46,1.0,1.0,S-threshold-Int,500,9445.60284381361,880.3095929194242,8.064026368000056e+21,0.14554398069769703,18.89120568762722,0.8950791000097524
1000,7,500,50,4,46,1.0,1.0,S-threshold-Gen,500,12910.821257917747,1107398.7246954963,6.137951713446182e+22,0.1514003507677131,25.821642515835496,0.9307576999999583
1000,7,500,50,4,46,1.0,1.0,Frame-BF,500,12910.821257917747,1107398.7246954963,6.137951713446182e+22,0.1514003507677131,25.821642515835496,0.034228599979542196
1000,7,500,50,4,46,1.0,1.0,Frame-Int,500,6212.067157242527,193.21281260438263,4.356776189851541e+20,0.1371236458016267,12.424134314485054,1.7710187000047881
1000,7,500,50,4,46,1.0,1.0,Frame-Gen,500,12929.10579151834,1050825.2699080743,6.259855031980117e+22,0.15145709466921112,25.858211583036677,0.08602640000754036
1000,7,500,50,4,46,1.0,1.0,N-H3-Fast,500,6117.018314453811,238.53452515415847,3.910416141636812e+20,0.13681176808653392,12.234036628907623,0.8534092000045348
1000,7,500,50,5,47,1.0,1.0,H1,500,9462.700969796027,563806.3339970503,7.062541914360144e+21,0.14516135503419447,18.925401939592057,0.02076739998301491
1000,7,500,50,5,47,1.0,1.0,H2,500,8500.741284861393,822.380412966013,3.896902283687651e+21,0.14344563549693248,17.001482569722786,0.214756600005785
1000,7,500,50,5,47,1.0,1.0,Coutino,500,11392.551988210105,629380.4275226183,2.686484988855017e+22,0.14901627572862147,22.78510397642021,0.8478276999958325
1000,7,500,50,5,47,1.0,1.0,MISO-EE,443,9491.238589678374,483162.206980329,7.429214091318326e+21,0.16400383655570078,21.42491780965773,1.1176605000218842
1000,7,500,50,5,47,1.0,1.0,Pareto-H2,500,8500.741284861393,822.380412966013,3.896902283687651e+21,0.14344563549693248,17.001482569722786,0.7078833999985363
