N,L,K,off_pct,heuristic,active_count_mean,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log2_u_g_per_active_mean,log2_u_g_per_active_std,u_bf_per_active_mean,u_bf_per_active_std,elapsed_seconds_mean,elapsed_seconds_std,samples
1000,8,500,50,H2,500.0,7707.469843462559,684.4221924657942,1067.2250194423832,244.29453722548374,8.861305051175587e+23,5.66855871559838e+23,0.15849124757220964,0.0020807754070916646,15.414939686925118,1.3688443849315886,0.2463596999994479,0.004794552604890189,10
1000,8,500,50,MISO-EE,462.5,8832.882935417325,925.5744099575581,375086.0050544287,103363.1976943981,2.4568856635695267e+24,1.9494347583814236e+24,0.17454916648236077,0.006740484739444553,19.064489311131943,1.2652931504555376,1.3067069600045216,0.026919011242557616,10
1000,8,500,50,N-H3-Fast,500.0,5632.809521067012,428.3055185080024,346.447860996332,60.76455386342632,6.832451176265492e+22,3.3733700394645453e+22,0.151273759990664,0.0018241483838040496,11.265619042134023,0.856611037016005,0.9607005800033221,0.012354987250112878,10
1000,8,500,50,Pareto-H2,491.8,7737.619673155505,658.2482086009176,1042.0950692759827,262.92057162391325,9.001105997057688e+23,5.57462314476011e+23,0.16135241180274223,0.004579139265128975,15.721510035886649,1.0521904663677613,0.8614623200031929,0.05927802927671562,10
1000,8,500,50,S-threshold-BF,500.0,11261.661052726364,613.0687191252379,804323.6050797876,196922.89703842788,1.3390772428016357e+25,5.152618429411303e+24,0.16670673507982953,0.0012830549798404835,22.523322105452728,1.2261374382504766,0.11726555999775883,0.003968858751457129,10
1000,8,500,50,S-threshold-Gen,500.0,11261.661052726364,613.0687191252379,804323.6050797876,196922.89703842788,1.3390772428016357e+25,5.152618429411303e+24,0.16670673507982953,0.0012830549798404835,22.523322105452728,1.2261374382504766,1.1300854799977968,0.034038029549502996,10
1000,8,500,50,S-threshold-Int,500.0,7736.597344756998,661.230056705216,973.6464289588854,143.33227412193656,8.947870705922166e+23,5.209645996446806e+23,0.15858122450929563,0.0020192648019688396,15.473194689513997,1.3224601134104326,1.05762539000134,0.017017186424803474,10
1000,8,750,25,Coutino,750.0,17743.096721743106,1000.5317130948714,1200261.9686832156,222729.8140300534,5.5974059178040596e+26,2.2833523976686052e+26,0.11830192175833257,0.0009016255620768747,23.657462295657474,1.3340422841264958,1.0886493499943755,0.138433882526006,10
1000,8,750,25,Frame-BF,750.0,20229.324463885052,1137.783966748601,1807362.5476156822,430405.5112367463,1.5576826141010742e+27,6.078752040967519e+26,0.12027846294500097,0.0008854211359991352,26.972432618513402,1.5170452889981338,0.04035530999826733,0.00393958888850333,10
1000,8,750,25,Frame-Gen,750.0,20238.281051771883,1138.4622071931838,1767109.8576123118,428557.78643312963,1.5687411640332132e+27,6.1178149502489576e+26,0.12029191958527222,0.0008866867461775405,26.984374735695845,1.517949609590914,0.08601512000022922,0.015529987761405397,10
